Name,Author,Teleport Command,Notes,Category,Entry Type
Peace,Unknown Author,/tp @s -14.5 49 -47.5 0 0,,PvP,Kit
PeePeePooPoo Kit,Unknown Author,/tp @s -15.5 49 -47.5 0 0,,PvP,Kit
Phantom Iz Za Ubermensch,Unknown Author,/tp @s -16.5 49 -47.5 0 0,,PvP,Kit
POG! Shulker Box,Unknown Author,/tp @s -17.5 49 -47.5 0 0,,PvP,Kit
Possible Mastery Kit,Unknown Author,/tp @s -18.5 49 -47.5 0 0,,PvP,Kit
Power_Star Kit by Kirby10bc,AUCreator,/tp @s -19.5 49 -47.5 0 0,,PvP,Kit
PRINCEBOX,Pr7nc3,/tp @s -20.5 49 -47.5 0 0,,PvP,Kit
Prisoner Suit,Unknown Author,/tp @s -21.5 49 -47.5 0 0,,PvP,Kit
PUBLICqp Kit Series,quack95,/tp @s -22.5 49 -47.5 0 0,,PvP,Kit
Purge Kit,SuperRyn,/tp @s -23.5 49 -47.5 0 0,,PvP,Kit
Puschyys Shulker,ProfPuschy,/tp @s -24.5 49 -47.5 0 0,,PvP,Kit
Puschyys 2 Kit,ProfPuschy,/tp @s -25.5 49 -47.5 0 0,,PvP,Kit
PVP,Unknown Author,/tp @s -26.5 49 -47.5 0 0,,PvP,Kit
Pvp kit,Folfy_Blue,/tp @s -27.5 49 -47.5 0 0,,PvP,Kit
Quartz,Unknown Author,/tp @s -28.5 49 -47.5 0 0,,PvP,Kit
Radience Op PvP Kit,KriTikal___Error,/tp @s -29.5 49 -47.5 0 0,,PvP,Kit
Raidiance V1,Xan,/tp @s -30.5 49 -47.5 0 0,,PvP,Kit
Rainbow Shulker Box,Emphacks,/tp @s -13.5 47 -47.5 0 0,,PvP,Kit
RapidDeploy Kit,Enchilada12,/tp @s -14.5 47 -47.5 0 0,,PvP,Kit
Rarity Nightmare Kit,Unknown Author,/tp @s -15.5 47 -47.5 0 0,,PvP,Kit
Rd Wntr,Katsuo,/tp @s -16.5 47 -47.5 0 0,,PvP,Kit
Red Kit,Unknown Author,/tp @s -17.5 47 -47.5 0 0,,PvP,Kit
Red Rover Armor Mk-2 Containment Unit,DashTheDevilDog,/tp @s -18.5 47 -47.5 0 0,,PvP,Kit
Red vs Blue,Unknown Author,/tp @s -19.5 47 -47.5 0 0,,PvP,Kit
Resistance MK.III,Telephone,/tp @s -20.5 47 -47.5 0 0,,PvP,Kit
Revol's Items,Revol1337,/tp @s -21.5 47 -47.5 0 0,,PvP,Kit
Rowlet Kit,Tanukimario,/tp @s -22.5 47 -47.5 0 0,,PvP,Kit
Royal Kit,justin0526,/tp @s -23.5 47 -47.5 0 0,,PvP,Kit
Santa's Terroristic Attack Bundle,OperatorTheDope,/tp @s -24.5 47 -47.5 0 0,,PvP,Kit
S A Y G O O D B Y E,Emphacks,/tp @s -25.5 47 -47.5 0 0,,PvP,Kit
SBD ITEMS,Unknown Author,/tp @s -26.5 47 -47.5 0 0,,PvP,Kit
Science,Unknown Author,/tp @s -27.5 47 -47.5 0 0,,PvP,Kit
ScrapBlaster Kit,Unknown Author,/tp @s -28.5 47 -47.5 0 0,,PvP,Kit
Sculk Set,Unknown Author,/tp @s -29.5 47 -47.5 0 0,,PvP,Kit
Shadow Battle Shulker,Unknown Author,/tp @s -30.5 47 -47.5 0 0,,PvP,Kit
ShibaKit,Enchilada12,/tp @s -13.5 45 -47.5 0 0,,PvP,Kit
Shiram's Honeyed Kit,Unknown Author,/tp @s -14.5 45 -47.5 0 0,,PvP,Kit
SHIT KIT L,GioVarquez,/tp @s -15.5 45 -47.5 0 0,,PvP,Kit
Shrek Box,BlockGodzilla,/tp @s -16.5 45 -47.5 0 0,,PvP,Kit
sithvsjedi's God Slayer Kit,sithvsjedi,/tp @s -17.5 45 -47.5 0 0,,PvP,Kit
sithvsjedi's Manaforge Set,sithvsjedi,/tp @s -18.5 45 -47.5 0 0,,PvP,Kit
Skeet Kit BETA,Unknown Author,/tp @s -19.5 45 -47.5 0 0,,PvP,Kit
Snickers Kit,OperatorTheDope,/tp @s -20.5 45 -47.5 0 0,,PvP,Kit
Snowdred Kit Tier 1,greensilver,/tp @s -21.5 45 -47.5 0 0,,PvP,Kit
Some stuff)))),__Winter__,/tp @s -22.5 45 -47.5 0 0,,PvP,Kit
SOUL Kit,Laurent_MC,/tp @s -23.5 45 -47.5 0 0,,PvP,Kit
Soulsand Valley Sniper Kit,Unknown Author,/tp @s -24.5 45 -47.5 0 0,,PvP,Kit
Space Kit,Unknown Author,/tp @s -25.5 45 -47.5 0 0,,PvP,Kit
SPARK Items,Unknown Author,/tp @s -26.5 45 -47.5 0 0,,PvP,Kit
Spidey Kit,xFruitless,/tp @s -27.5 45 -47.5 0 0,,PvP,Kit
Splitting Dawn Kit,"Kaatsuo, xXezboyzeXx",/tp @s -28.5 45 -47.5 0 0,,PvP,Kit
Spring Bonnie Set,Unknown Author,/tp @s -29.5 45 -47.5 0 0,,PvP,Kit
Straight Pride Kit,Unknown Author,/tp @s -30.5 45 -47.5 0 0,,PvP,Kit
Sundred Kit Tier 1,greensilver,/tp @s -13.5 43 -47.5 0 0,,PvP,Kit
Sundred Kit Tier 2,greensilver,/tp @s -14.5 43 -47.5 0 0,,PvP,Kit
Super kit,Unknown Author,/tp @s -15.5 43 -47.5 0 0,,PvP,Kit
Super [OP] Kit,Unknown Author,/tp @s -16.5 43 -47.5 0 0,,PvP,Kit
Sweet Tooth Kit V1,Unknown Author,/tp @s -17.5 43 -47.5 0 0,,PvP,Kit
Sweet Tooth Kit v1.2,Unknown Author,/tp @s -18.5 43 -47.5 0 0,,PvP,Kit
Sweet Tooth Kit v1.3,Unknown Author,/tp @s -19.5 43 -47.5 0 0,,PvP,Kit
Sweg Kit,Emphacks,/tp @s -20.5 43 -47.5 0 0,,PvP,Kit
Synflex,FileExtension,/tp @s -21.5 43 -47.5 0 0,,PvP,Kit
Table and Chair Pack,MoogiC,/tp @s -22.5 43 -47.5 0 0,,PvP,Kit
TACO KIT,LEEFFS,/tp @s -23.5 43 -47.5 0 0,,PvP,Kit
Target Combat Crate,FilluS,/tp @s -24.5 43 -47.5 0 0,,PvP,Kit
Tax Collectors ToolKit,OperatorTheDope,/tp @s -25.5 43 -47.5 0 0,,PvP,Kit
Tax Collectors ToolKit II,OperatorTheDope,/tp @s -26.5 43 -47.5 0 0,,PvP,Kit
Team Kismet's Armory,Team Kismet,/tp @s -27.5 43 -47.5 0 0,,PvP,Kit
Team TopHat,Team Tophat,/tp @s -28.5 43 -47.5 0 0,,PvP,Kit
Tehelon's Midnight Kit v0.1,Tehelon,/tp @s -29.5 43 -47.5 0 0,,PvP,Kit
TehKit,TehIvan,/tp @s -30.5 43 -47.5 0 0,,PvP,Kit
TentaBlacks2,GioVarquez,/tp @s -13.5 41 -47.5 0 0,,PvP,Kit
Terraria 1,Unknown Author,/tp @s -14.5 41 -47.5 0 0,,PvP,Kit
Terraria 2,Unknown Author,/tp @s -15.5 41 -47.5 0 0,,PvP,Kit
The Abyssnite,nohoeslolol,/tp @s -16.5 41 -47.5 0 0,,PvP,Kit
The Abyssnite II,nohoeslolol,/tp @s -17.5 41 -47.5 0 0,,PvP,Kit
The Almighty Demon Kit,Grishus,/tp @s -18.5 41 -47.5 0 0,,PvP,Kit
The BestKit,Unknown Author,/tp @s -19.5 41 -47.5 0 0,,PvP,Kit
The Big Boy Kit,Unknown Author,/tp @s -20.5 41 -47.5 0 0,,PvP,Kit
The Council Kit,Unknown Author,/tp @s -21.5 41 -47.5 0 0,,PvP,Kit
The Crazy Kit V1,Fuzzalrdin_,/tp @s -22.5 41 -47.5 0 0,,PvP,Kit
the Cutters kit,Unknown Author,/tp @s -23.5 41 -47.5 0 0,,PvP,Kit
The Cyb3r Box,Cyb3x,/tp @s -24.5 41 -47.5 0 0,,PvP,Kit
THEDARKAGES,Emphacks,/tp @s -25.5 41 -47.5 0 0,,PvP,Kit
THE DIORITE FORTRESS KIT,antigamesm12,/tp @s -26.5 41 -47.5 0 0,,PvP,Kit
The Disinfected Kit,Unknown Author,/tp @s -27.5 41 -47.5 0 0,,PvP,Kit
The Dragon Kit,Unknown Author,/tp @s -28.5 41 -47.5 0 0,,PvP,Kit
The End,Unknown Author,/tp @s -29.5 41 -47.5 0 0,,PvP,Kit
The Eternal Shulker,Qartonix,/tp @s -30.5 41 -47.5 0 0,,PvP,Kit
The Exterminator Reborn,Mob0,/tp @s -30.5 51 -47.5 90 0,,PvP,Kit
The Extremely Kit,Brawl_PvP,/tp @s -30.5 51 -48.5 90 0,,PvP,Kit
The Founders Kit (Alpha v1.01),Emphacks,/tp @s -30.5 51 -49.5 90 0,,PvP,Kit
The Fox Kit,Grishus,/tp @s -30.5 51 -50.5 90 0,,PvP,Kit
The Holy PvP Kit,Unknown Author,/tp @s -30.5 51 -51.5 90 0,,PvP,Kit
The Kit of Protection,drummersam1234,/tp @s -30.5 51 -52.5 90 0,,PvP,Kit
The Kit of Protection V2,drummersam1234,/tp @s -30.5 51 -53.5 90 0,,PvP,Kit
The Kit of RabzoiGaming,RabzoiGaming,/tp @s -30.5 51 -54.5 90 0,,PvP,Kit
The Kit of RabzoiGaming v1.2,RabzoiGaming,/tp @s -30.5 51 -55.5 90 0,,PvP,Kit
THE LIME KIT,Unknown Author,/tp @s -30.5 49 -47.5 90 0,,PvP,Kit
The Long Overdue Katsuo PvP Kit,Katsuo,/tp @s -30.5 49 -48.5 90 0,,PvP,Kit
The Maid Liquid ;),Unknown Author,/tp @s -30.5 49 -49.5 90 0,,PvP,Kit
TheOmega Kit,Unknown Author,/tp @s -30.5 49 -50.5 90 0,,PvP,Kit
The OS Kit,Emphacks,/tp @s -30.5 49 -51.5 90 0,,PvP,Kit
The Overseer's Chest,OperatorTheDope,/tp @s -30.5 49 -52.5 90 0,,PvP,Kit
The Silver kit,greensilver,/tp @s -30.5 49 -53.5 90 0,,PvP,Kit
The Soul Star Kit,Unknown Author,/tp @s -30.5 49 -54.5 90 0,,PvP,Kit
Thorned Kit,Gl1tch1x,/tp @s -30.5 49 -55.5 90 0,,PvP,Kit
Tier - XVI 0 3rd Edition last Gambit Kit,Katsuo,/tp @s -30.5 47 -47.5 90 0,,PvP,Kit
Tommy Kit,Unknown Author,/tp @s -30.5 47 -48.5 90 0,,PvP,Kit
totally amazing OP kit by NotPetya,NotPetya,/tp @s -30.5 47 -49.5 90 0,,PvP,Kit
Toy Crate,DashTheDevilDog,/tp @s -30.5 47 -50.5 90 0,,PvP,Kit
Trump Crate,Aarooncia,/tp @s -30.5 47 -51.5 90 0,,PvP,Kit
Tuff Kit,UltimEVB,/tp @s -30.5 47 -52.5 90 0,,PvP,Kit
Tuxedo Kit,Unknown Author,/tp @s -30.5 47 -53.5 90 0,,PvP,Kit
UK KIT,Unknown Author,/tp @s -30.5 47 -54.5 90 0,,PvP,Kit
Ultima Kit,Unknown Author,/tp @s -30.5 47 -55.5 90 0,,PvP,Kit
UltimateKIT,Dast,/tp @s -30.5 45 -47.5 90 0,,PvP,Kit
Ultrasheeplord's Items,Ultrasheeplord,/tp @s -30.5 45 -48.5 90 0,,PvP,Kit
Ultraviolet Crate,FileExtension,/tp @s -30.5 45 -49.5 90 0,,PvP,Kit
UM21 OP KIT,Unknown Author,/tp @s -30.5 45 -50.5 90 0,,PvP,Kit
Universal Destroyer Kit,FleshlyIsTaken,/tp @s -30.5 45 -51.5 90 0,,PvP,Kit
Unknown Armored,GioVarquez,/tp @s -30.5 45 -52.5 90 0,,PvP,Kit
US KIT,Unknown Author,/tp @s -30.5 45 -53.5 90 0,,PvP,Kit
Utvinner Kit,utvinn,/tp @s -30.5 45 -54.5 90 0,,PvP,Kit
Vampirism Kit,Unknown Author,/tp @s -30.5 45 -55.5 90 0,,PvP,Kit
Via-Kit,DashTheDevilDog,/tp @s -30.5 43 -47.5 90 0,,PvP,Kit
VoidGod Armor Kit,Unknown Author,/tp @s -30.5 43 -48.5 90 0,,PvP,Kit
Voidium Set,antigamesm12,/tp @s -30.5 43 -49.5 90 0,,PvP,Kit
VOIDSTAR KIT V1,"XanX15, BingoIsaac, L0_ST",/tp @s -30.5 43 -50.5 90 0,,PvP,Kit
VOIDSTAR KIT V2.1,"XanX15, BingoIsaac, L0_ST",/tp @s -30.5 43 -51.5 90 0,,PvP,Kit
VOIDSTAR KIT V2.5,"XanX15, BingoIsaac, L0_ST",/tp @s -30.5 43 -52.5 90 0,,PvP,Kit
VOIDSTAR KIT V2.5.1,"XanX15, BingoIsaac, L0_ST",/tp @s -30.5 43 -53.5 90 0,,PvP,Kit
Vor7ex Box,Vor7ex,/tp @s -30.5 43 -54.5 90 0,,PvP,Kit
Walmarts PvP Kit,TheWalmartCartel,/tp @s -30.5 43 -55.5 90 0,,PvP,Kit
Weathered Kit,greensilver,/tp @s -30.5 41 -47.5 90 0,,PvP,Kit
Wegny Kit,Unknown Author,/tp @s -30.5 41 -48.5 90 0,,PvP,Kit
Whale-PvP Kit,notaproboi,/tp @s -30.5 41 -49.5 90 0,,PvP,Kit
Wild West Kit,Unknown Author,/tp @s -30.5 41 -50.5 0 0,,PvP,Kit
Windows 95 computer,antigamesm12,/tp @s -30.5 41 -51.5 0 0,,PvP,Kit
Wizard Kit,GamerBoy194927,/tp @s -30.5 41 -52.5 0 0,,PvP,Kit
WoodKit,Unknown Author,/tp @s -30.5 41 -53.5 0 0,,PvP,Kit
Wrath of Infinity,quack95,/tp @s -30.5 41 -54.5 0 0,,PvP,Kit
xCryobyte's Kit,xCryobyte,/tp @s -30.5 41 -55.5 0 0,,PvP,Kit
xDragoncatx's Kit,xDragoncatx,/tp @s -30.5 51 -55.5 -180 0,,PvP,Kit
XTPMUltraGodCrate,Emphacks,/tp @s -29.5 51 -55.5 -180 0,,PvP,Kit
Yurni Kit End Of TF,Yurni,/tp @s -28.5 51 -55.5 -180 0,,PvP,Kit
Yurni's old kit. Old name,Yurni,/tp @s -27.5 51 -55.5 -180 0,,PvP,Kit
Yurni's Public 1.17+ Kit,Yurni,/tp @s -26.5 51 -55.5 -180 0,,PvP,Kit
Yurni's Revamped Kit,Yurni,/tp @s -25.5 51 -55.5 -180 0,,PvP,Kit
Yurni's Revamped Kit,Yurni,/tp @s -24.5 51 -55.5 -180 0,,PvP,Kit
Zarcana Shulker,EnderMomandNate,/tp @s -23.5 51 -55.5 -180 0,,PvP,Kit
Zarcana's Kit,EnderMomandNate,/tp @s -22.5 51 -55.5 -180 0,,PvP,Kit
ZCraft egends,Unknown Author,/tp @s -21.5 51 -55.5 -180 0,,PvP,Kit
ItstheYTGamer22's Kit,ItstheYTGamer22,/tp @s -20.5 51 -55.5 -180 0,,PvP,Kit
Shulker of Life,quack95,/tp @s -13.5 51 -59.5 0 0,,PvP-Related,Kit
_KermitDeFrog's Shulker,_KermitDeFrog,/tp @s -14.5 51 -59.5 0 0,,PvP-Related,Kit
-=OP Stuff=-,Unknown Author,/tp @s -15.5 51 -59.5 0 0,,PvP-Related,Kit
Aedan's gift kit,Unknown Author,/tp @s -16.5 51 -59.5 0 0,,PvP-Related,Kit
arna & rekaroo,rekaroo,/tp @s -17.5 51 -59.5 0 0,,PvP-Related,Kit
AUCreator Nostalgia v1.0,AUCreator,/tp @s -18.5 51 -59.5 0 0,,PvP-Related,Kit
AUCreator Nostalgia v1.35,AUCreator,/tp @s -19.5 51 -59.5 0 0,,PvP-Related,Kit
Azure Lightning,Katsuo,/tp @s -20.5 51 -59.5 0 0,,PvP-Related,Kit
Bad Effects,Folfy_Blue,/tp @s -21.5 51 -59.5 0 0,,PvP-Related,Kit
Best Possible Vanilla Kit,bigboypadilla,/tp @s -22.5 51 -59.5 0 0,,PvP-Related,Kit
Bio-Labs Essentials,Unknown Author,/tp @s -23.5 51 -59.5 0 0,,PvP-Related,Kit
Black Hole Box,MoogiC,/tp @s -24.5 51 -59.5 0 0,Archivist Pick,PvP-Related,Kit
Bomb Protection Gear,ItzSergioCobra,/tp @s -25.5 51 -59.5 0 0,,PvP-Related,Kit
Box of Death Pots and Arrows,FleshlyIsTaken,/tp @s -26.5 51 -59.5 0 0,,PvP-Related,Kit
BratGamingYtXD1's Archer Kit,BratGamingYtXD1,/tp @s -27.5 51 -59.5 0 0,,PvP-Related,Kit
Chaotic Arrow Box,Unknown Author,/tp @s -28.5 51 -59.5 0 0,,PvP-Related,Kit
Cheaters Dream,WestMC,/tp @s -29.5 51 -59.5 0 0,,PvP-Related,Kit
Christmas Ornament Kit,TFTWPhoenix,/tp @s -30.5 51 -59.5 0 0,,PvP-Related,Kit
COCKBOX,Unknown Author,/tp @s -13.5 49 -59.5 0 0,,PvP-Related,Kit
CompileKit (opPVP),Unknown Author,/tp @s -14.5 49 -59.5 0 0,,PvP-Related,Kit
Corp Protectors Kit,WestMC,/tp @s -15.5 49 -59.5 0 0,,PvP-Related,Kit
Cosmo Kit,greensilver,/tp @s -16.5 49 -59.5 0 0,,PvP-Related,Kit
Crate of Happiness,0800_Hybrid,/tp @s -17.5 49 -59.5 0 0,,PvP-Related,Kit
Dash's Anti Coronavirus Kit,DashTheDevilDog,/tp @s -18.5 49 -59.5 0 0,,PvP-Related,Kit
DashTheDevilDog Brand Tranquilizer Equipment,DashTheDevilDog,/tp @s -19.5 49 -59.5 0 0,,PvP-Related,Kit
Deadly Virus,Unknown Author,/tp @s -20.5 49 -59.5 0 0,,PvP-Related,Kit
DDN-03 Dragoon V1 Data Box,DashTheDevilDog,/tp @s -21.5 49 -59.5 0 0,,PvP-Related,Kit
DDN-04 Train Lad,DashTheDevilDog,/tp @s -22.5 49 -59.5 0 0,,PvP-Related,Kit
Demi God,GioVarquez,/tp @s -23.5 49 -59.5 0 0,,PvP-Related,Kit
DO NOT OPEN,Unknown Author,/tp @s -24.5 49 -59.5 0 0,,PvP-Related,Kit
Dumb Ice Fairy,Cirno_,/tp @s -25.5 49 -59.5 0 0,,PvP-Related,Kit
Echo Set,christophermav,/tp @s -26.5 49 -59.5 0 0,,PvP-Related,Kit
Ender Kit,Unknown Author,/tp @s -27.5 49 -59.5 0 0,,PvP-Related,Kit
epic gamer kit by robinhahn,robinhahn,/tp @s -30.5 49 -59.5 0 0,,PvP-Related,Kit
Epic Gear,Unknown Author,/tp @s -13.5 47 -59.5 0 0,,PvP-Related,Kit
Equator Hazmat,quack95,/tp @s -14.5 47 -59.5 0 0,,PvP-Related,Kit
Equator Hazmat Standard Hazmat Kit,quack95,/tp @s -15.5 47 -59.5 0 0,,PvP-Related,Kit
ErrorKit V1,OperatorTheDope,/tp @s -16.5 47 -59.5 0 0,,PvP-Related,Kit
ExperiMental V1.4.2,Unknown Author,/tp @s -17.5 47 -59.5 0 0,,PvP-Related,Kit
ExperiMental V2,Unknown Author,/tp @s -18.5 47 -59.5 0 0,,PvP-Related,Kit
ExperiMental V3,Unknown Author,/tp @s -19.5 47 -59.5 0 0,,PvP-Related,Kit
Ferrari-Kit,Unknown Author,/tp @s -20.5 47 -59.5 0 0,,PvP-Related,Kit
FileExtension's Latest Crate (9/6/2020),FileExtension,/tp @s -21.5 47 -59.5 0 0,,PvP-Related,Kit
Firebender Box Soulfire Skin,Unknown Author,/tp @s -22.5 47 -59.5 0 0,,PvP-Related,Kit
Furry Sword,ThatOneLivi,/tp @s -23.5 47 -59.5 0 0,,PvP-Related,Kit
Gearbox Co. - Meltdown Edition,Katsuo,/tp @s -24.5 47 -59.5 0 0,,PvP-Related,Kit
Ghostghxx kit,Ghostghxx,/tp @s -25.5 47 -59.5 0 0,,PvP-Related,Kit
Gift from Sothis,Wither255,/tp @s -26.5 47 -59.5 0 0,,PvP-Related,Kit
GioVarquez,GioVarquez,/tp @s -27.5 47 -59.5 0 0,,PvP-Related,Kit
God Kit,Unknown Author,/tp @s -28.5 47 -59.5 0 0,,PvP-Related,Kit
GodThings!,Unknown Author,/tp @s -29.5 47 -59.5 0 0,,PvP-Related,Kit
Golden Arsenal,Unknown Author,/tp @s -30.5 47 -59.5 0 0,,PvP-Related,Kit
golden weapons of spinjitzu,Unknown Author,/tp @s -13.5 45 -59.5 0 0,,PvP-Related,Kit
Good effects,Folfy_Blue,/tp @s -14.5 45 -59.5 0 0,,PvP-Related,Kit
Goose's Kit v2.0,Unknown Author,/tp @s -15.5 45 -59.5 0 0,,PvP-Related,Kit
Granite Castle Kit,Unknown Author,/tp @s -16.5 45 -59.5 0 0,,PvP-Related,Kit
Green Allegarde Kit,Unknown Author,/tp @s -17.5 45 -59.5 0 0,,PvP-Related,Kit
Helth,Enchilada12,/tp @s -18.5 45 -59.5 0 0,,PvP-Related,Kit
Henry's Magical Toy Box,Plasma_Rooster23,/tp @s -19.5 45 -59.5 0 0,,PvP-Related,Kit
Holy Weapons,Unknown Author,/tp @s -20.5 45 -59.5 0 0,,PvP-Related,Kit
HULKer Box,shehxlk,/tp @s -21.5 45 -59.5 0 0,,PvP-Related,Kit
Hyper Armor,Unknown Author,/tp @s -22.5 45 -59.5 0 0,,PvP-Related,Kit
HypixelIsIdiotic NBT items For Fun,HypixelIsIdiotic,/tp @s -23.5 45 -59.5 0 0,,PvP-Related,Kit
Hypixel Skyblock,Unknown Author,/tp @s -24.5 45 -59.5 0 0,,PvP-Related,Kit
Hypixel Skyblock Items V1,Unknown Author,/tp @s -25.5 45 -59.5 0 0,,PvP-Related,Kit
Hypixel Skyblock Stuff,Unknown Author,/tp @s -26.5 45 -59.5 0 0,,PvP-Related,Kit
i71s' Skyblock Weapons,i71s,/tp @s -27.5 45 -59.5 0 0,,PvP-Related,Kit
IMMORTALITY SET,MarkDragon,/tp @s -28.5 45 -59.5 0 0,,PvP-Related,Kit
Infinitium,0800_Hybrid,/tp @s -29.5 45 -59.5 0 0,,PvP-Related,Kit
Infinity Kit,christophermav,/tp @s -30.5 45 -59.5 0 0,,PvP-Related,Kit
Ingressus,Voltaris,/tp @s -13.5 43 -59.5 0 0,,PvP-Related,Kit
IS SHULKER,Unknown Author,/tp @s -14.5 43 -59.5 0 0,,PvP-Related,Kit
ItzSergioCobra's Fun Illegal Shulker,ItzSergioCobra,/tp @s -15.5 43 -59.5 0 0,,PvP-Related,Kit
ItzSergioCobra Stuff,ItzSergioCobra,/tp @s -16.5 43 -59.5 0 0,,PvP-Related,Kit
jackpot,Unknown Author,/tp @s -17.5 43 -59.5 0 0,,PvP-Related,Kit
Jack's Hacked Items,Unknown Author,/tp @s -18.5 43 -59.5 0 0,,PvP-Related,Kit
JouLantia Arrow Set,Unknown Author,/tp @s -19.5 43 -59.5 0 0,,PvP-Related,Kit
JouLantia Potion Set,Unknown Author,/tp @s -20.5 43 -59.5 0 0,,PvP-Related,Kit
Js's Items,Jsteelers03,/tp @s -21.5 43 -59.5 0 0,,PvP-Related,Kit
Katsuo's Assassination Kit,Katsuo,/tp @s -22.5 43 -59.5 0 0,,PvP-Related,Kit
Katsuo's Assassination Kit Updated,Katsuo,/tp @s -23.5 43 -59.5 0 0,,PvP-Related,Kit
KELICORP ENVIRO Suit Package,keli5,/tp @s -24.5 43 -59.5 0 0,,PvP-Related,Kit
Kill Arrow Proofing,Yurni,/tp @s -25.5 43 -59.5 0 0,,PvP-Related,Kit
Kit of the Crash,enderples,/tp @s -26.5 43 -59.5 0 0,,PvP-Related,Kit
Kitty kit,Unknown Author,/tp @s -27.5 43 -59.5 0 0,,PvP-Related,Kit
Kyrengard Kit,christophermav,/tp @s -28.5 43 -59.5 0 0,,PvP-Related,Kit
Labs Essrntials,quack95,/tp @s -29.5 43 -59.5 0 0,,PvP-Related,Kit
Lazy Kit,Unknown Author,/tp @s -30.5 43 -59.5 0 0,,PvP-Related,Kit
LegendaryCrateofSecrets 1,Unknown Author,/tp @s -13.5 41 -59.5 0 0,,PvP-Related,Kit
LegendaryCrateofSecerts 2,Unknown Author,/tp @s -14.5 41 -59.5 0 0,,PvP-Related,Kit
Legendary Set of TotalFreedom,Unknown Author,/tp @s -15.5 41 -59.5 0 0,,PvP-Related,Kit
LEGENDKIT,Unknown Author,/tp @s -16.5 41 -59.5 0 0,,PvP-Related,Kit
Lexi Kit,Space,/tp @s -17.5 41 -59.5 0 0,,PvP-Related,Kit
lex's anti 32k's,xanderdk,/tp @s -18.5 41 -59.5 0 0,,PvP-Related,Kit
Loot:,BananaTheGamerYt,/tp @s -19.5 41 -59.5 0 0,,PvP-Related,Kit
Lootbox :),Unknown Author,/tp @s -20.5 41 -59.5 0 0,,PvP-Related,Kit
Low effort kit with random stuff,Unknown Author,/tp @s -21.5 41 -59.5 0 0,,PvP-Related,Kit
Meltdown Kit,Team Meltdown,/tp @s -22.5 41 -59.5 0 0,,PvP-Related,Kit
Meltup Kit,OperatorTheDope,/tp @s -23.5 41 -59.5 0 0,,PvP-Related,Kit
MinebotUltra Kit v.1,MinebotUltra,/tp @s -24.5 41 -59.5 0 0,,PvP-Related,Kit
Mobs secret cult items,Mob0,/tp @s -25.5 41 -59.5 0 0,,PvP-Related,Kit
Mōlnya,Ederofe,/tp @s -26.5 41 -59.5 0 0,,PvP-Related,Kit
Monkey Gear,scider,/tp @s -27.5 41 -59.5 0 0,,PvP-Related,Kit
More Tools,Unknown Author,/tp @s -28.5 41 -59.5 0 0,,PvP-Related,Kit
MrHotDog's Box,Shdow,/tp @s -29.5 41 -59.5 0 0,,PvP-Related,Kit
MrT1's Potion Kit,MrT1_,/tp @s -30.5 41 -59.5 0 0,,PvP-Related,Kit
NathanG12's SpecialKit,NathanG512,/tp @s -30.5 51 -59.5 90 0,,PvP-Related,Kit
NiceGuySb Set,Unknown Author,/tp @s -30.5 51 -60.5 90 0,,PvP-Related,Kit
OP SWORDS COLLECTION,Steeved,/tp @s 23.5 41 50.5 -90 0,,Collections,Kit
Overpowered Potions,bigboypadilla,/tp @s -30.5 51 -62.5 90 0,,PvP-Related,Kit
P.A.X. Potion Crate,FleshlyIsTaken,/tp @s -30.5 51 -63.5 90 0,Archivist Pick,PvP-Related,Kit
Pac-Man.exe,"AUCreator, PacMax1121",/tp @s -30.5 51 -64.5 90 0,,PvP-Related,Kit
PAWZ PAWZ PAWZ,Unknown Author,/tp @s -30.5 51 -65.5 90 0,,PvP-Related,Kit
Perfect Day Drink,Unknown Author,/tp @s -30.5 51 -66.5 90 0,,PvP-Related,Kit
Phantom Lantern,Unknown Author,/tp @s -30.5 51 -67.5 90 0,,PvP-Related,Kit
Pog Axe Kit,quack95,/tp @s -30.5 49 -59.5 90 0,,PvP-Related,Kit
poopoo,rekaroo,/tp @s -30.5 49 -60.5 90 0,,PvP-Related,Kit
poopoo 2.0,rekaroo,/tp @s -30.5 49 -61.5 90 0,,PvP-Related,Kit
Potions,Unknown Author,/tp @s -30.5 49 -62.5 90 0,,PvP-Related,Kit
Potions,NukeCoderX,/tp @s -30.5 49 -63.5 90 0,,PvP-Related,Kit
Potion Supplyer Kit,Unknown Author,/tp @s -30.5 49 -64.5 90 0,,PvP-Related,Kit
Purge Box,iIFrozenFireIi,/tp @s -30.5 49 -65.5 90 0,,PvP-Related,Kit
quack95's epic items,quack95,/tp @s -30.5 49 -66.5 90 0,,PvP-Related,Kit
quack95's epic items v4.0,quack95,/tp @s -30.5 49 -67.5 90 0,,PvP-Related,Kit
Rage Lootbox,Unknown Author,/tp @s -30.5 47 -59.5 90 0,,PvP-Related,Kit
Random Items Kit +WTF Kit,Unknown Author,/tp @s -30.5 47 -60.5 90 0,,PvP-Related,Kit
Random Stuff,Unknown Author,/tp @s -30.5 47 -61.5 90 0,,PvP-Related,Kit
rekaroo,rekaroo,/tp @s -30.5 47 -62.5 90 0,,PvP-Related,Kit
Saturn's Hacked Potions V3,saturn5vfive,/tp @s -30.5 47 -63.5 90 0,,PvP-Related,Kit
